Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
PIERRE BROSSOLETTE,Pierre Brossolette,,"1943, 18 juin - Discours Hommage Albert Hall photo officielle livre.jpg",français,13e arrondissement de Paris,16e arrondissement de Paris,personnalité politique,France,masculin,1903-06-25T00:00:00Z,1944-03-22T00:00:00Z
DES CAPUCINES,DES CAPUCINES,,,,,,,,,,
COUCY 1ERE SECTION,COUCY 1ERE SECTION,,,,,,,,,,
DEVILLE,DEVILLE,,,,,,,,,,
DE VERDUN,DE VERDUN,,,,,,,,,,
NOTRE-DAME,NOTREDAME,,,,,,,,,,
DU CENTRE,DU,,,,,,,,,,
BON SECOURS,BON SECOURS,,,,,,,,,,
LA TOUR D'AUVERGNE,LA TOUR D'AUVERGNE,,,,,,,,,,
LAVOISIER,Antoine Lavoisier,chimie,David - Portrait of Monsieur Lavoisier (cropped).jpg,,place de la Concorde,Paris,chimiste,France,masculin,1743-08-26T00:00:00Z,1794-05-08T00:00:00Z
PIERRE COCHART,PIERRE COCHART,,,,,,,,,,
JEAN JAURES,Jean Jaurès,philosophie,"Jean Jaurès, 1904, par Nadar.jpg",,Paris,Castres,personnalité politique,France,masculin,1859-09-03T00:00:00Z,1914-07-31T00:00:00Z
LA FAYETTE,LA FAYETTE,,,,,,,,,,
ROBERT GOBEZ,ROBERT GOBEZ,,,,,,,,,,
ECOLE MATERNELLE,,,,,,,,,,,
LA BOUVERIE,LA BOUVERIE,,,,,,,,,,
MICHELET,Jules Michelet,histoire de France,Jules Michelet par Thomas Couture.jpg,français,Hyères,rue Saint-Denis,historien ou historienne,France,masculin,1798-08-22T00:00:00Z,1874-02-09T00:00:00Z
ARC-EN-CIEL,ARCENCIEL,,,,,,,,,,
JULES MOURON,Jules Mouron,,,,Signy-le-Petit,Roussillon-en-Morvan,personnalité politique,France,masculin,1906-05-06T00:00:00Z,1967-08-17T00:00:00Z
LE PLATEAU,LE PLATEAU,,,,,,,,,,
MAURICE ROBINET,Maurice Robinet,,,,,,,Belgique,masculin,1907-07-01T00:00:00Z,1977-07-15T00:00:00Z
SAINTE-THERESE,SAINTETHERESE,,,,,,,,,,
FRANCOIS MITTERRAND,François Mitterrand,politique,President François Mitterrand in 1983.jpg,,7e arrondissement de Paris,Jarnac,personnalité politique,France,masculin,1916-10-26T00:00:00Z,1996-01-08T00:00:00Z
AVETANT,AVETANT,,,,,,,,,,
JEAN MOULIN,Jean Moulin,,Moulin Harcourt 1937.jpg,,Metz,Béziers,haut fonctionnaire ou haute fonctionnaire,France,masculin,1899-06-20T00:00:00Z,1943-07-08T00:00:00Z
SAINTE THERESE,Thérèse de Lisieux,,Teresa-de-Lisieux.jpg,français,Lisieux,Alençon,théologien ou théologienne,France,féminin,1873-01-02T00:00:00Z,1897-09-30T00:00:00Z
DE LA TUILERIE,DE LA TUILERIE,,,,,,,,,,
JEAN MONNET,Jean Monnet,,Jean Monnet.jpg,,maison de Jean Monnet,Cognac,diplomate,France,masculin,1888-11-09T00:00:00Z,1979-03-16T00:00:00Z
LOUIS PASTEUR,Louis Pasteur,chimie,"Louis Pasteur (1822 - 1895), microbiologist and chemist Wellcome V0026980.jpg",,château de Villeneuve-l'Étang,Dole,microbiologiste,France,masculin,1822-12-27T00:00:00Z,1895-09-28T00:00:00Z
DANTON,Georges Jacques Danton,,"Anonyme - Portrait de Georges Danton (1759-1794), orateur et homme politique - P712 - Musée Carnavalet - 2.jpg",,Paris,Arcis-sur-Aube,avocat ou avocate,France,masculin,1759-10-26T00:00:00Z,1794-04-05T00:00:00Z
JEAN SAINTON,JEAN SAINTON,,,,,,,,,,
DE ERVY LE CHATEL,DE ERVY LE CHATEL,,,,,,,,,,
VOLTAIRE,Voltaire,philosophie,Nicolas de Largillière - Portrait de Voltaire (1694-1778) en 1718 - P208 - Musée Carnavalet - 2.jpg,français,Paris,Paris,philosophe,France,masculin,1694-11-21T00:00:00Z,1778-05-30T00:00:00Z
DE PONT STE MARIE,DE PONT STE MARIE,,,,,,,,,,
ROBESPIERRE,Maximilien de Robespierre,révolutionnaire,Robespierre.jpg,français,Paris,Arras,personnalité politique,France,masculin,1758-05-06T00:00:00Z,1794-07-28T00:00:00Z
GAMBETTA,Léon Gambetta,,Gambetta par Étienne Carjat (photo recadrée).jpg,,Ville-d'Avray,Cahors,personnalité politique,France,masculin,1838-04-02T00:00:00Z,1882-12-31T00:00:00Z
ROMAIN ROLLAND,Romain Rolland,,Romain Rolland 1915.jpg,français,Vézelay,Clamecy,écrivain ou écrivaine,France,masculin,1866-01-29T00:00:00Z,1944-12-30T00:00:00Z
FAUBOURG DE LION,FAUBOURG DE LION,,,,,,,,,,
ROMAIN ROLLAND 1,Romain Rolland,,Romain Rolland 1915.jpg,français,Vézelay,Clamecy,écrivain ou écrivaine,France,masculin,1866-01-29T00:00:00Z,1944-12-30T00:00:00Z
MONTIER LA CELLE,MONTIER LA CELLE,,,,,,,,,,
GEORGES GUINGOUIN,Georges Guingouin,communisme,,,Troyes,Magnac-Laval,personnalité politique,France,masculin,1913-02-02T00:00:00Z,2005-10-27T00:00:00Z
LOUIS BRISSON,Louis Brisson,,Louis Brisson.jpg,,Plancy-l'Abbaye,Plancy-l'Abbaye,théologien ou théologienne,France,masculin,1817-06-23T00:00:00Z,1908-02-02T00:00:00Z
FERNAND GANNE,FERNAND GANNE,,,,,,,,,,
HENRI CURIN,HENRI CURIN,,,,,,,,,,
PREIZE,PREIZE,,,,,,,,,,
BLOSSIERES,BLOSSIERES,,,,,,,,,,
JACOBINS,JACOBINS,,,,,,,,,,
CUMINES,CUMINES,,,,,,,,,,
GEORGES CHARPAK,Georges Charpak,physique des particules,CHARPAK Georges-24x50-2005 cropped.JPG,,5e arrondissement de Paris,Doubrovytsia,physicien ou physicienne,France,masculin,1924-08-01T00:00:00Z,2010-09-29T00:00:00Z
DIDEROT,Denis Diderot,spectacle vivant,Denis Diderot - Alix - Vanloo.png,français,Paris,Langres,philosophe,royaume de France,masculin,1713-10-05T00:00:00Z,1784-07-31T00:00:00Z
LA SALLE,LA SALLE,,,,,,,,,,
SAINT BERNARD,Bernard de Clairvaux,philosophie,Bernhard von Clairvaux (Initiale-B).jpg,ancien français,abbaye de Clairvaux,Fontaine-lès-Dijon,théologien ou théologienne,royaume de France,masculin,1091-01-01T00:00:00Z,1153-08-20T00:00:00Z
GROUPE SCOLAIRE DE LA NOXE,DE LA NOXE,,,,,,,,,,
CORGIRNON,CORGIRNON,,,,,,,,,,
RENE CASSIN,René Cassin,,René Cassin nobel.jpg,,13e arrondissement de Paris,Bayonne,juriste,France,masculin,1887-10-05T00:00:00Z,1976-02-20T00:00:00Z
ROBERT PILLON,Robert Pillon,,,,,,,,masculin,,
PREVERT,Jacques Prévert,belles-lettres,Jacques Prévert en 1961 dans le film Mon frère Jacques par Pierre Prévert.jpg,français,Teloché,Neuilly-sur-Seine,poète ou poétesse,France,masculin,1900-02-04T00:00:00Z,1977-04-11T00:00:00Z
ADRIEN RENARD,Adrien Renard,,,,Saint-Quentin,Roanne,personnalité politique,France,masculin,1905-08-07T00:00:00Z,1979-03-29T00:00:00Z
YVONNE DE GAULLE,Yvonne de Gaulle,,Yvonne de Gaulle.jpg,français,Paris,Calais,personnalité politique,France,féminin,1900-05-22T00:00:00Z,1979-11-08T00:00:00Z
J.P. NAUCHE-EYROLLES,J.P. NAUCHEEYROLLES,,,,,,,,,,
LOUIS PERGAUD,Louis Pergaud,poésie,Louis Pergaud.jpg,français,Fresnes-en-Woëvre,Belmont,écrivain ou écrivaine,France,masculin,1882-01-22T00:00:00Z,1915-04-08T00:00:00Z
MARCEL FOURNIER,Marcel Fournier,,"Fournier, Marcel (phot. Pirou).jpeg",,Paris,Bordeaux,historien ou historienne du droit,France,masculin,1856-10-13T00:00:00Z,1907-03-15T00:00:00Z
LES CHANOINES,LES CHANOINES,,,,,,,,,,
JEAN DE JOINVILLE,Jean de Joinville,,Jean de Joinville Louis X.jpeg,ancien français,,,historien ou historienne,royaume de France,masculin,1224-01-01T00:00:00Z,1317-12-24T00:00:00Z
LES OUCHES,LES OUCHES,,,,,,,,,,
JEAN SPIRO,Jean Spiro,,,,Lausanne,,épigraphiste,Suisse,masculin,1847-01-01T00:00:00Z,1914-01-01T00:00:00Z
LOUZE,LOUZE,,,,,,,,,,
MAGNEUX-AVRAINVILLE,MAGNEUXAVRAINVILLE,,,,,,,,,,
LA MEDIOLANAISE,LA MEDIOLANAISE,,,,,,,,,,
EQUITAINE,EQUITAINE,,,,,,,,,,
LANGEVIN-WALLON,LANGEVINWALLON,,,,,,,,,,
JEAN DE LA FONTAINE,Jean de La Fontaine,belles-lettres,Henri Millot - Jean de La Fontaine - A II 792 - Finnish National Gallery.jpg,français,Paris,Château-Thierry,fabuliste,France,masculin,1621-07-08T00:00:00Z,1695-04-13T00:00:00Z
ALBERT CAMUS,Albert Camus,philosophie,"Albert Camus, gagnant de prix Nobel, portrait en buste, posé au bureau, faisant face à gauche, cigarette de tabagisme.jpg",français,Villeblevin,Dréan,écrivain ou écrivaine,France,masculin,1913-11-07T00:00:00Z,1960-01-04T00:00:00Z
LES HIRONDELLES,LES HIRONDELLES,,,,,,,,,,
LES COLCHIQUES,LES COLCHIQUES,,,,,,,,,,
LUCIE AUBRAC,Lucie Aubrac,,Lucie aubrac.jpg,,hôpital suisse de Paris,14e arrondissement de Paris,enseignant ou enseignante,France,féminin,1912-06-29T00:00:00Z,2007-03-14T00:00:00Z
PETIT BETHENY LA MARELLE,PETIT BETHENY LA MARELLE,,,,,,,,,,
SAINT JOSEPH,SAINT JOSEPH,,,,,,,,,,
BLANCHE DE NAVARRE,Blanche Ire de Navarre,,BlancaI navarra.jpg,,Santa María la Real de Nieva,royaume de Castille,dirigeant ou dirigeante,royaume de Navarre,féminin,1387-07-06T00:00:00Z,1441-04-01T00:00:00Z
DE LA SOMME SOUDE,DE LA SOMME SOUDE,,,,,,,,,,
PIERRE CURIE,Pierre Curie,physique,Pierre Curie by Dujardin c1906.jpg,,Paris,Paris,physicien ou physicienne,France,masculin,1859-05-15T00:00:00Z,1906-04-19T00:00:00Z
LE VERBEAU,LE VERBEAU,,,,,,,,,,
MONT SAINT-MICHEL,MONT SAINTMICHEL,,,,,,,,,,
JEAN ROSTAND,Jean Rostand,biologie,RostandJean.jpg,français,Ville-d'Avray,17e arrondissement de Paris,philosophe,France,masculin,1894-10-30T00:00:00Z,1977-09-04T00:00:00Z
SAINTE MARIE,SAINTE MARIE,,,,,,,,,,
LES ERABLES,LES ERABLES,,,,,,,,,,
CENTRE,,,,,,,,,,,
SAINTONGE,SAINTONGE,,,,,,,,,,
PRE-AUX-COUDES - RIVE DROITE,PREAUXCOUDES  RIVE DROITE,,,,,,,,,,
LES TILLEULS,LES TILLEULS,,,,,,,,,,
