Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
STE VICTOIRE,STE VICTOIRE,,,,,,,,,,
LA LUNE BLEUE,LA LUNE BLEUE,,,,,,,,,,
GEORGES TANCHOUX,GEORGES TANCHOUX,,,,,,,,,,
LES PLEIADES,LES PLEIADES,,,,,,,,,,
LES LONNIERES,LES LONNIERES,,,,,,,,,,
DUMONT D URVILLE,Jules Dumont d’Urville,botanique,Jules dumont d urville.jpg,,Meudon,Condé-sur-Noireau,explorateur ou exploratrice,France,masculin,1790-05-23T00:00:00Z,1842-05-08T00:00:00Z
STE ANNE-ST JEAN BAPTISTE,STE ANNEST JEAN BAPTISTE,,,,,,,,,,
LA PETITE NORMANDIE,LA PETITE NORMANDIE,,,,,,,,,,
L'ORANGE BLEUE,L'ORANGE BLEUE,,,,,,,,,,
ROBERT DESCHAMPS,ROBERT DESCHAMPS,,,,,,,,,,
FRATERNITE (LA),FRATERNITE (LA),,,,,,,,,,
GARENNES (LES),GARENNES (LES),,,,,,,,,,
N-D.DES BATIGNOLLES,ND.DES BATIGNOLLES,,,,,,,,,,
FELLONNEAU,FELLONNEAU,,,,,,,,,,
N-D.DE TOUTES JOIES,ND.DE TOUTES JOIES,,,,,,,,,,
BATIGNOLLES,BATIGNOLLES,,,,,,,,,,
MARSAUDERIES (LES),MARSAUDERIES (LES),,,,,,,,,,
JEAN ZAY GPE 2,JEAN ZAY GPE 2,,,,,,,,,,
RUE NOIRE,RUE NOIRE,,,,,,,,,,
CHAUVINIERE (LA),CHAUVINIERE (LA),,,,,,,,,,
MAURICE MACE,MAURICE MACE,,,,,,,,,,
GEORGES LAFONT,GEORGES LAFONT,,,,,,,,,,
LA FERRIERE,LA FERRIERE,,,,,,,,,,
DES AULNES,DES AULNES,,,,,,,,,,
LES HALBRANS,LES HALBRANS,,,,,,,,,,
STE GERMAINE,STE GERMAINE,,,,,,,,,,
SOTTA,SOTTA,,,,,,,,,,
VERO,VERO,,,,,,,,,,
ALGAJOLA BILINGUE LCC,ALGAJOLA BILINGUE LCC,,,,,,,,,,
BASTIA  VENTURI,BASTIA  VENTURI,,,,,,,,,,
BASTIA AB  DEFENDINI BILINGUE,BASTIA AB  DEFENDINI BILINGUE,,,,,,,,,,
CAMPANARI MATERNELLE BILINGUE,CAMPANARI  BILINGUE,,,,,,,,,,
M.REYNOARD BASTIA,M.REYNOARD BASTIA,,,,,,,,,,
BIGUGLIA VINCENTELLO D'ISTRIA,BIGUGLIA VINCENTELLO D'ISTRIA,,,,,,,,,,
ERBALUNGA,ERBALUNGA,,,,,,,,,,
CALACUCCIA  BILINGUE LCC,CALACUCCIA  BILINGUE LCC,,,,,,,,,,
CALVI BARIANI,CALVI BARIANI,,,,,,,,,,
CASTELLARE DI CASINCA,CASTELLARE DI CASINCA,,,,,,,,,,
CORTE SANDRESCHI ELEM LCC BILI,CORTE SANDRESCHI ELEM LCC BILI,,,,,,,,,,
ILE ROUSSE ALBERT CAMUS LCC BI,ILE ROUSSE ALBERT CAMUS LCC BI,,,,,,,,,,
ECOLE GILLES VERRAT,GILLES VERRAT,,,,,,,,,,
LINGUIZETTA BRAVONE,LINGUIZETTA BRAVONE,,,,,,,,,,
LUCCIANA MARANA BILINGUE LCC,LUCCIANA MARANA BILINGUE LCC,,,,,,,,,,
MOLTIFAO BILINGUE LCC,MOLTIFAO BILINGUE LCC,,,,,,,,,,
L'AYGUE MARINE,L'AYGUE MARINE,,,,,,,,,,
MONTEMAGGIORE,MONTEMAGGIORE,,,,,,,,,,
MOROSAGLIA PONTELECCIA BIL.LCC,MOROSAGLIA PONTELECCIA BIL.LCC,,,,,,,,,,
MOROSAGLIA BILINGUE LCC,MOROSAGLIA BILINGUE LCC,,,,,,,,,,
MURATO,MURATO,,,,,,,,,,
ORTIPORIO  BILINGUE LCC,ORTIPORIO  BILINGUE LCC,,,,,,,,,,
FAUBOURG,FAUBOURG,,,,,,,,,,
PENTA DI CASINCA VILLAGE,PENTA DI CASINCA VILLAGE,,,,,,,,,,
SAN NICOLAO MORIANI PLAGE BILI,SAN NICOLAO MORIANI PLAGE BILI,,,,,,,,,,
SAINT SEURIN,SAINT SEURIN,,,,,,,,,,
VENTISERI TRAVO,VENTISERI TRAVO,,,,,,,,,,
MARCUS,Marc,,Caxias museumunicipal4.jpg,,Alexandrie,Palestine,prêtre chrétien,Rome antique,masculin,0012-01-01T00:00:00Z,0068-04-25T00:00:00Z
CLOS MONTESQUIEU,CLOS MONTESQUIEU,,,,,,,,,,
MARCUS GROUPE B,MARCUS GROUPE B,,,,,,,,,,
INSTITUTION STE MARIE BASTIDE,STE MARIE BASTIDE,,,,,,,,,,
VESCOVATO VILLAGE BILINGUE LCC,VESCOVATO VILLAGE BILINGUE LCC,,,,,,,,,,
KALLISTE VILLE DI PIETRABUGNO,KALLISTE VILLE DI PIETRABUGNO,,,,,,,,,,
BARBEY,BARBEY,,,,,,,,,,
VOLPAJOLA BARCHETTA,VOLPAJOLA BARCHETTA,,,,,,,,,,
AIME RUDEL,Aimé Rudel,,,,Clermont-Ferrand,Boën-sur-Lignon,géologue,France,masculin,1912-10-12T00:00:00Z,1975-06-14T00:00:00Z
LAC III,LAC III,,,,,,,,,,
LA PASTORALE,LA PASTORALE,,,,,,,,,,
LOUIS PORTEBOIS,LOUIS PORTEBOIS,,,,,,,,,,
PAUL BERTHELOT,PAUL BERTHELOT,,,,,,,,,,
SAINT BRUNO,SAINT BRUNO,,,,,,,,,,
FLORNOY,FLORNOY,,,,,,,,,,
MARCEL GATIGNOL,MARCEL GATIGNOL,,,,,,,,,,
YSER,YSER,,,,,,,,,,
FRANCIN,FRANCIN,,,,,,,,,,
DES PAQUIS,DES PAQUIS,,,,,,,,,,
JEAN BAPTISTE CHAUTY,JEAN BAPTISTE CHAUTY,,,,,,,,,,
LES CLAUDINETTES,LES CLAUDINETTES,,,,,,,,,,
CASSIOT,CASSIOT,,,,,,,,,,
MARC REBEYROL,MARC REBEYROL,,,,,,,,,,
R.THIBAULT,R.THIBAULT,,,,,,,,,,
EMILE BARBOU,EMILE BARBOU,,,,,,,,,,
VAL FLEURION,VAL FLEURION,,,,,,,,,,
GROUPE SCOLAIRE PIERRE VIGNEAU,PIERRE VIGNEAU,,,,,,,,,,
CHAMPEYROUX,CHAMPEYROUX,,,,,,,,,,
LE MARRONNIER DE SULLY,LE MARRONNIER DE SULLY,,,,,,,,,,
DE LA JALLE,DE LA JALLE,,,,,,,,,,
DU CHATEL,François Duchatel,,,,,Bruxelles,artiste peintre,Pays-Bas méridionaux,masculin,1616-01-01T00:00:00Z,1694-01-01T00:00:00Z
ANDRE SABY,ANDRE SABY,,,,,,,,,,
REJOUIT,REJOUIT,,,,,,,,,,
J.VERNE,Jules Verne,forme dramatique,Félix Nadar 1820-1910 portraits Jules Verne.jpg,français,Amiens,Nantes,romancier ou romancière,France,masculin,1828-02-08T00:00:00Z,1905-03-24T00:00:00Z
JEAN L'HOTE,Jean L'Hôte,,Jean L'hôte.jpg,,Nancy,Mignéville,scénariste,France,masculin,1929-01-13T00:00:00Z,1985-04-28T00:00:00Z
RAYMOND CLAVERIE,RAYMOND CLAVERIE,,,,,,,,,,
PAUL PECHE,PAUL PECHE,,,,,,,,,,
ECOLE DE GISCOS,DE GISCOS,,,,,,,,,,
LE PIN FRANC,LE PIN FRANC,,,,,,,,,,
ANDRE GODIN,ANDRE GODIN,,,,,,,,,,
GROUPE SCOLAIRE J.G. TESSIER,J.G. TESSIER,,,,,,,,,,
DE LA CROIX STE ANNE,DE LA CROIX STE ANNE,,,,,,,,,,
1 2 3 SOLEIL,1 2 3 SOLEIL,,,,,,,,,,
JEAN CAZAUVIEILH,JEAN CAZAUVIEILH,,,,,,,,,,
ECOLE MATERNELLE DENIS ET YVES,DENIS ET YVES,,,,,,,,,,
J.SIMON,J.SIMON,,,,,,,,,,
J.DE LA FONTAINE,Jean de La Fontaine,belles-lettres,Henri Millot - Jean de La Fontaine - A II 792 - Finnish National Gallery.jpg,français,Paris,Château-Thierry,fabuliste,France,masculin,1621-07-08T00:00:00Z,1695-04-13T00:00:00Z
DES PETITS PRINCES,DES PETITS PRINCES,,,,,,,,,,
PICAMIRO,PICAMIRO,,,,,,,,,,
MONTAIGNE ET LA BOETIE,MONTAIGNE ET LA BOETIE,,,,,,,,,,
D'ASPERJOC,D'ASPERJOC,,,,,,,,,,
LIEGEY,LIEGEY,,,,,,,,,,
CENTRE RENE CASSIN,René Cassin,,René Cassin nobel.jpg,,13e arrondissement de Paris,Bayonne,juriste,France,masculin,1887-10-05T00:00:00Z,1976-02-20T00:00:00Z
PAUL PAYA,PAUL PAYA,,,,,,,,,,
LA GIROUETTE,LA GIROUETTE,,,,,,,,,,
ABEL THEVENET,ABEL THEVENET,,,,,,,,,,
BOIS RENARD,BOIS RENARD,,,,,,,,,,
CHAVAGNES SAINT JOSEPH,CHAVAGNES SAINT JOSEPH,,,,,,,,,,
LIMBRE,LIMBRE,,,,,,,,,,
CHARLES CHOISIE,CHARLES CHOISIE,,,,,,,,,,
SAINT MARTIAL,SAINT MARTIAL,,,,,,,,,,
SAINTE RADEGONDE,SAINTE RADEGONDE,,,,,,,,,,
SAINTE MARIE - UNION CHRETIENN,SAINTE MARIE  UNION CHRETIENN,,,,,,,,,,
MICROMEGAS,MICROMEGAS,,,,,,,,,,
LA GRANGE SAINT PIERRE,LA GRANGE SAINT PIERRE,,,,,,,,,,
LA SAULEE,LA SAULEE,,,,,,,,,,
IRMA JOUENNE,IRMA JOUENNE,,,,,,,,,,
NOTRE-DAME ESPERANCE,NOTREDAME ESPERANCE,,,,,,,,,,
FRANCOIS RABELAIS - POLE EDUC.,FRANCOIS RABELAIS  POLE EDUC.,,,,,,,,,,
LA GASSOTTE,LA GASSOTTE,,,,,,,,,,
ANNE FRANK BESSE,ANNE FRANK BESSE,,,,,,,,,,
CELINE PINAUD,CELINE PINAUD,,,,,,,,,,
CALANDRETA LO CIGAL,CALANDRETA LO CIGAL,,,,,,,,,,
JEAN BEAUBOIS,JEAN BEAUBOIS,,,,,,,,,,
NINON VALLIN,Ninon Vallin,,Ninon Vallin.jpg,,Lyon,Montalieu-Vercieu,artiste lyrique,France,féminin,1886-09-08T00:00:00Z,1961-11-22T00:00:00Z
POUCHELON,POUCHELON,,,,,,,,,,
YVAN PELISSIER,Yvan Pélissier,,,,Aude,Aude,personnalité politique,France,masculin,1890-03-15T00:00:00Z,1929-02-19T00:00:00Z
LE PIALON,LE PIALON,,,,,,,,,,
ECOLE GISELE HALIMI,Gisèle Halimi,essai,Gisele Halimi - Huma-2008 2.jpg,français,7e arrondissement de Paris,La Goulette,personnalité politique,France,féminin,1927-07-27T00:00:00Z,2020-07-28T00:00:00Z
DU CASTELLAS,DU CASTELLAS,,,,,,,,,,
MARIE PAPE CARPANTIER,Marie Pape-Carpantier,,Marie Pape Carpantier 1879 Mukarovsky.png,,Villiers-le-Bel,La Flèche,pédagogue,France,féminin,1815-09-10T00:00:00Z,1878-07-31T00:00:00Z
CHAUFFOUR,CHAUFFOUR,,,,,,,,,,
HELVETIE,HELVETIE,,,,,,,,,,
LEON ARCHIMBAUD,Léon Archimbaud,science politique,Léon Archimbaud-1920.jpg,français,Drôme,Drôme,personnalité politique,France,masculin,1880-09-23T00:00:00Z,1944-06-24T00:00:00Z
JOSEPH DESSAIX,JOSEPH DESSAIX,,,,,,,,,,
QUAI JULES PHILIPPE,QUAI JULES PHILIPPE,,,,,,,,,,
AVIERNOZ,AVIERNOZ,,,,,,,,,,
LES ILES,LES ILES,,,,,,,,,,
ALBERT BOCCAGNY,Albert Boccagny,,,,Cervens,Perrignier,personnalité politique,France,masculin,1894-05-28T00:00:00Z,1983-11-21T00:00:00Z
SOUS ALERY,SOUS ALERY,,,,,,,,,,
ST MAURICE,ST MAURICE,,,,,,,,,,
ST BRUNO,ST BRUNO,,,,,,,,,,
FRONTENEX,FRONTENEX,,,,,,,,,,
EDOUARD VUAGNAT,EDOUARD VUAGNAT,,,,,,,,,,
BERNARD LACROIX,BERNARD LACROIX,,,,,,,,,,
AU FIL DES USSES,AU FIL DES USSES,,,,,,,,,,
CHRISTINE JANIN,Christine Janin,,,,,Rome,explorateur ou exploratrice,France,féminin,1957-03-14T00:00:00Z,
CAMILLE FLEURY,Camille Fleury,,,,7e arrondissement de Paris,15e arrondissement de Paris,artiste peintre,France,masculin,1914-06-30T00:00:00Z,1984-09-15T00:00:00Z
ST ANTOINE LES PLANTADES,ST ANTOINE LES PLANTADES,,,,,,,,,,
GRAMMONT,GRAMMONT,,,,,,,,,,
LES BUGES,LES BUGES,,,,,,,,,,
ANDRE BOYER,ANDRE BOYER,,,,,,,,,,
RAYMOND BELMONT,RAYMOND BELMONT,,,,,,,,,,
AUGUSTE-JEAN MARTIN,AUGUSTEJEAN MARTIN,,,,,,,,,,
BERNEUIL,BERNEUIL,,,,,,,,,,
LU CHASTENH,LU CHASTENH,,,,,,,,,,
CHALUS,CHALUS,,,,,,,,,,
COUZEIX 2 F DOLTO,COUZEIX 2 F DOLTO,,,,,,,,,,
EYMOUTIERS,EYMOUTIERS,,,,,,,,,,
FLAVIGNAC,FLAVIGNAC,,,,,,,,,,
LADIGNAC LE LONG,LADIGNAC LE LONG,,,,,,,,,,
LES CARS,LES CARS,,,,,,,,,,
CORGNAC,CORGNAC,,,,,,,,,,
PONT-NEUF,PONTNEUF,,,,,,,,,,
SAINT LAZARE LIMOGES,SAINT LAZARE LIMOGES,,,,,,,,,,
LINARDS,LINARDS,,,,,,,,,,
PIERRE BUFFIERE,Pierre Buffière,,,,,,chercheur ou chercheuse,,masculin,,
SAINT CYR,SAINT CYR,,,,,,,,,,
SAINT GERMAIN LES BELLES,SAINT GERMAIN LES BELLES,,,,,,,,,,
LES MOULINS LE VIEUX PORT,LES MOULINS LE VIEUX PORT,,,,,,,,,,
DE LA GRENETTE,DE LA GRENETTE,,,,,,,,,,
LE BOCCARD,LE BOCCARD,,,,,,,,,,
MORILLON,MORILLON,,,,,,,,,,
DU VAL D'HERMONE,DU VAL D'HERMONE,,,,,,,,,,
ALICE DELEAN,ALICE DELEAN,,,,,,,,,,
CORNIERES,CORNIERES,,,,,,,,,,
LES GOMMETTES,LES GOMMETTES,,,,,,,,,,
E.HERRIOT,E.HERRIOT,,,,,,,,,,
LES BARBIERES,LES BARBIERES,,,,,,,,,,
SAINT MARTIN LE VIEUX,SAINT MARTIN LE VIEUX,,,,,,,,,,
SAINT SORNIN LEULAC,SAINT SORNIN LEULAC,,,,,,,,,,
SEREILHAC,SEREILHAC,,,,,,,,,,
LES RUIRES,LES RUIRES,,,,,,,,,,
CHARLES FRANC,CHARLES FRANC,,,,,,,,,,
M. GENEVOIX,M. GENEVOIX,,,,,,,,,,
ANDRE CLERJAUD,ANDRE CLERJAUD,,,,,,,,,,
FRANCOIS MARVAUD,François Marvaud,,,,,,,,masculin,1801-01-01T00:00:00Z,1879-01-01T00:00:00Z
HELENE CARTIER,HELENE CARTIER,,,,,,,,,,
LES EAUX CLAIRES,LES EAUX CLAIRES,,,,,,,,,,
LE MAINE GAGNAUD,LE MAINE GAGNAUD,,,,,,,,,,
RPI CÉLÉSTIN FREINET,RPI CÉLÉSTIN FREINET,,,,,,,,,,
LA PETITE COUTURE,LA PETITE COUTURE,,,,,,,,,,
L. GAZEAU,L. GAZEAU,,,,,,,,,,
LE BOIS D'ANNE,LE BOIS D'ANNE,,,,,,,,,,
VEDRINA,VEDRINA,,,,,,,,,,
ARGENTON L'EGLISE,ARGENTON L'EGLISE,,,,,,,,,,
GROUPE SCOLAIRE LOUIS ARAGON,Louis Aragon,,Portrait Aragon (cropped).jpg,français,7e arrondissement de Paris,16e arrondissement de Paris,médecin écrivain,France,masculin,1897-10-03T00:00:00Z,1982-12-24T00:00:00Z
ST-MAURICE LA FOUGEREUSE,STMAURICE LA FOUGEREUSE,,,,,,,,,,
VRERE A ST-LEGER-DE-MONTBRUN,VRERE A STLEGERDEMONTBRUN,,,,,,,,,,
ROGER MORIN,ROGER MORIN,,,,,,,,,,
C. ET D. ALLEAUME,C. ET D. ALLEAUME,,,,,,,,,,
DES GROSEILLIERS,DES GROSEILLIERS,,,,,,,,,,
ANTOINETTE SAUZEAU,ANTOINETTE SAUZEAU,,,,,,,,,,
PARIGNY,PARIGNY,,,,,,,,,,
FOSSES,FOSSES,,,,,,,,,,
CITADELLE,CITADELLE,,,,,,,,,,
RAVEL MAURICE,Maurice Ravel,,Maurice Ravel 1925.jpg,,16e arrondissement de Paris,Ciboure,chef ou cheffe d'orchestre ou de chœur,France,masculin,1875-03-07T00:00:00Z,1937-12-28T00:00:00Z
NICOLAS BUSSON,NICOLAS BUSSON,,,,,,,,,,
VAUTHIER,Antoine-Charles Vauthier,,,,6e arrondissement de Paris,Paris,botaniste,France,masculin,1790-01-01T00:00:00Z,1879-06-19T00:00:00Z
G.  BRASSENS,G.  BRASSENS,,,,,,,,,,
CHARLES BELLE,CHARLES BELLE,,,,,,,,,,
SAINTE EUSTELLE,SAINTE EUSTELLE,,,,,,,,,,
LES BORDERIES,LES BORDERIES,,,,,,,,,,
ALEXIS DESMOULIN,ALEXIS DESMOULIN,,,,,,,,,,
LE CORMIER,LE CORMIER,,,,,,,,,,
GUY NEPOUX,GUY NEPOUX,,,,,,,,,,
DE LONGEVILLE,DE LONGEVILLE,,,,,,,,,,
JARNOUZEAU,JARNOUZEAU,,,,,,,,,,
ST-PIERRE FOURIER,STPIERRE FOURIER,,,,,,,,,,
LES CAPUCINS,LES CAPUCINS,,,,,,,,,,
EDMOND BOUR,EDMOND BOUR,,,,,,,,,,
JEAN TAUTOU,JEAN TAUTOU,,,,,,,,,,
PAUL BUARD,PAUL BUARD,,,,,,,,,,
RUE DE L'ECOLE ANDRE MAIRE,RUE DE L' ANDRE MAIRE,,,,,,,,,,
J MOREL LES REPES,J MOREL LES REPES,,,,,,,,,,
YVES BRAY,YVES BRAY,,,,,,,,,,
MICHEL ET JEANNINE ANDRIEUX,MICHEL ET JEANNINE ANDRIEUX,,,,,,,,,,
LUC TURLAN,Luc Turlan,illustration de livre,Luc Turlan-Salon du livre en Bretagne 2012.jpg,,,Lons-le-Saunier,créateur ou créatrice de bandes dessinées,France,masculin,1958-01-01T00:00:00Z,
EC. PRIMAIRE SAINTE CATHERINE,EC.  SAINTE CATHERINE,,,,,,,,,,
PIERRE JONCHERY,PIERRE JONCHERY,,,,,,,,,,
CLAUDE NICOLAS,CLAUDE NICOLAS,,,,,,,,,,
LA GENETTE,LA GENETTE,,,,,,,,,,
LE TREUIL DES FILLES,LE TREUIL DES FILLES,,,,,,,,,,
LES PETITS CARRELETS,LES PETITS CARRELETS,,,,,,,,,,
EMILES COMBES,EMILES COMBES,,,,,,,,,,
PIERRE GIRAUDET,Pierre Giraudet,transport,,,15e arrondissement de Paris,Koléa,personnalité du monde des affaires,France,masculin,1919-12-05T00:00:00Z,2007-04-11T00:00:00Z
DU NOUVEAU MONDE,DU NOUVEAU MONDE,,,,,,,,,,
DU BOIS MARAIS,DU BOIS MARAIS,,,,,,,,,,
LE MAROUILLET,LE MAROUILLET,,,,,,,,,,
DOCTEUR MENUDIER,DOCTEUR MENUDIER,,,,,,,,,,
DE L'OR BLANC,DE L'OR BLANC,,,,,,,,,,
J. MIGAULT - MOUGON,J. MIGAULT  MOUGON,,,,,,,,,,
LOUISE LABE,Louise Labé,poésie,Pierre Woeiriot02.jpg,,Parcieux,Lyon,poète ou poétesse,France,féminin,1524-01-01T00:00:00Z,1566-04-25T00:00:00Z
ROGER BOUVET,Roger Bouvet,,Roger BOUVET Lycée Carnot.jpg,,Neuengamme,,résistant ou résistante,France,masculin,1898-07-21T00:00:00Z,1944-12-10T00:00:00Z
SAINT LIBOIRE,Liboire du Mans,,Gaetano Gandolfi - Saint Liborius.jpg,,Le Mans,Gaule,prêtre catholique,,masculin,0310-01-01T00:00:00Z,0397-01-01T00:00:00Z
BERTHE HUBERT,Berthe Hubert,,,,,,professeur agrégé ou professeure agrégée,,féminin,,
RPID 55 LOUISE MICHEL - LHOMME,RPID 55 LOUISE MICHEL  LHOMME,,,,,,,,,,
VERNE,Jules Verne,forme dramatique,Félix Nadar 1820-1910 portraits Jules Verne.jpg,français,Amiens,Nantes,romancier ou romancière,France,masculin,1828-02-08T00:00:00Z,1905-03-24T00:00:00Z
RPID 23 MARCON,RPID 23 MARCON,,,,,,,,,,
LE PETIT NICOLAS,LE PETIT NICOLAS,,,,,,,,,,
RPIC 20 MONTABON / MONTVAL SUR,RPIC 20 MONTABON / MONTVAL SUR,,,,,,,,,,
RPID 12 NOGENT-LE-BERNARD,RPID 12 NOGENTLEBERNARD,,,,,,,,,,
RPID 18 EMILE FETICK - NOGENT-,RPID 18 EMILE FETICK  NOGENT,,,,,,,,,,
MARIN MERSENNE,Marin Mersenne,théorie des nombres,MarinMersenneDuflos.jpg,,Paris,Oizé,philosophe,France,masculin,1588-09-08T00:00:00Z,1648-09-01T00:00:00Z
AMSTRAMGRAM,AMSTRAMGRAM,,,,,,,,,,
FERNAND BOUTIER,FERNAND BOUTIER,,,,,,,,,,
ALAIN-BOURGETEAU,ALAINBOURGETEAU,,,,,,,,,,
LE PRE,LE PRE,,,,,,,,,,
PIERRE GAGNEAU,PIERRE GAGNEAU,,,,,,,,,,
RPID 36 SAINT-MARS-DE-LOCQUENA,RPID 36 SAINTMARSDELOCQUENA,,,,,,,,,,
RPID 22 LES P'TITS BOPPES -SAI,RPID 22 LES P'TITS BOPPES SAI,,,,,,,,,,
LES PETITS PAS,LES PETITS PAS,,,,,,,,,,
FERNAND LORIOT,Fernand Loriot,,Congrès communiste de Marseille - Loriot (gros plan) - btv1b9054105b.jpg,,Paris,Ceton,personnalité politique,France,masculin,1870-10-10T00:00:00Z,1932-10-12T00:00:00Z
CATHERINE PAYSAN,Catherine Paysan,,Catherine Paysan 1.JPG,,Le Mans,Bonnétable,écrivain ou écrivaine,France,féminin,1926-08-04T00:00:00Z,2020-04-22T00:00:00Z
RPID 36 VOLNAY,RPID 36 VOLNAY,,,,,,,,,,
DU DAUPHIN BLEU,DU DAUPHIN BLEU,,,,,,,,,,
DU GOIS,DU GOIS,,,,,,,,,,
SOL ET VENT,SOL ET VENT,,,,,,,,,,
NOTRE DAME DE L ESPERANCE,NOTRE DAME DE L ESPERANCE,,,,,,,,,,
LA PIRONNIERE,LA PIRONNIERE,,,,,,,,,,
AMIRAL,AMIRAL,,,,,,,,,,
RENE MILLET,RENE MILLET,,,,,,,,,,
C. BOURON-R. MASSE,C. BOURONR. MASSE,,,,,,,,,,
LES JACOBINS,LES JACOBINS,,,,,,,,,,
SAINTE TRINITE,SAINTE TRINITE,,,,,,,,,,
NOTRE DAME DES BUIS,NOTRE DAME DES BUIS,,,,,,,,,,
LES P'TITS MARRONS,LES P'TITS MARRONS,,,,,,,,,,
MARGUERITE AUJARD,MARGUERITE AUJARD,,,,,,,,,,
JAN ET JOEL MARTEL,JAN ET JOEL MARTEL,,,,,,,,,,
GUEMESSE,GUEMESSE,,,,,,,,,,
LES DEUX LAYS (R.P.I.D. AVEC S,LES DEUX LAYS (R.P.I.D. AVEC S,,,,,,,,,,
JEAN ROY,JEAN ROY,,,,,,,,,,
PONT BOILEAU,PONT BOILEAU,,,,,,,,,,
LES DOLMENS,LES DOLMENS,,,,,,,,,,
PIERRE MARIE LOUIS PANNETIER,PIERRE MARIE LOUIS PANNETIER,,,,,,,,,,
CHARLES PERRAULT (R.P.I.D AVEC,CHARLES PERRAULT (R.P.I.D AVEC,,,,,,,,,,
PRIMAIRE (R.P.I.D AVEC LIEZ/ST,(R.P.I.D AVEC LIEZ/ST,,,,,,,,,,
L'ECOLE DES PENSEES,L' DES PENSEES,,,,,,,,,,
SAINT JOSEPH - LE BRANDON,SAINT JOSEPH  LE BRANDON,,,,,,,,,,
DU PONANT,DU PONANT,,,,,,,,,,
BOURG ST SAUVEUR,BOURG ST SAUVEUR,,,,,,,,,,
MOZAIC,MOZAIC,,,,,,,,,,
LA JEUNE AUTIZE,LA JEUNE AUTIZE,,,,,,,,,,
RENE GUILBAUD,René Guilbaud,,,,mer de Barents,Mouchamps,officier de marine,France,masculin,1890-10-08T00:00:00Z,1928-06-18T00:00:00Z
CRAYONS DE SOLEIL,CRAYONS DE SOLEIL,,,,,,,,,,
LA MOUETTE - L'HERBAUDIERE,LA MOUETTE  L'HERBAUDIERE,,,,,,,,,,
R.P.I.D LA CHAPELLE PALLUAU,R.P.I.D LA CHAPELLE PALLUAU,,,,,,,,,,
LES QUATRE VENTS (R.P.I.D AVEC,LES QUATRE VENTS (R.P.I.D AVEC,,,,,,,,,,
LES GUERNOVELLES,LES GUERNOVELLES,,,,,,,,,,
LES SALINES,LES SALINES,,,,,,,,,,
HENRY SIMON,HENRY SIMON,,,,,,,,,,
ANSELME ROY,ANSELME ROY,,,,,,,,,,
SAINT JEAN BOSCO,Jean Bosco,,San Giovanni Bosco.jpg,,Turin,Castelnuovo Don Bosco,prêtre catholique de rite romain,royaume d'Italie,masculin,1815-08-16T00:00:00Z,1888-01-31T00:00:00Z
LES P'TITS MINOIS,LES P'TITS MINOIS,,,,,,,,,,
LE DONJON,LE DONJON,,,,,,,,,,
CHARLES MILCENDEAU,Charles Milcendeau,,Charles Milcendeau par Henri Evenepoel.jpg,,Soullans,Soullans,artiste peintre,France,masculin,1872-07-18T00:00:00Z,1919-04-02T00:00:00Z
J.-Y. COUSTEAU,J.Y. COUSTEAU,,,,,,,,,,
SAINTE MARIE DES VENTS,SAINTE MARIE DES VENTS,,,,,,,,,,
MARAIS DES CYGNES,MARAIS DES CYGNES,,,,,,,,,,
PIERRE GASSENDI,Pierre Gassendi,philosophie,Portrait of Pierre Gassendi by Claude Mellan.png,,Paris,Champtercier,philosophe,royaume de France,masculin,1592-01-22T00:00:00Z,1655-10-24T00:00:00Z
ELISE ET CELESTIN FREINET,ELISE ET CELESTIN FREINET,,,,,,,,,,
LE PIGEONNIER,LE PIGEONNIER,,,,,,,,,,
SOUSTRE,SOUSTRE,,,,,,,,,,
GAUBERT,GAUBERT,,,,,,,,,,
LA PONSONNE,LA PONSONNE,,,,,,,,,,
JEAN PROAL,Jean Proal,,,français,Avignon,Seyne,écrivain ou écrivaine,France,masculin,1904-07-16T00:00:00Z,1969-02-24T00:00:00Z
LA BAUME,LA BAUME,,,,,,,,,,
JOANNES BARRAL,JOANNES BARRAL,,,,,,,,,,
LOUIS REGARD,LOUIS REGARD,,,,,,,,,,
LES GRAINS DE BLE,LES GRAINS DE BLE,,,,,,,,,,
CHANTABEAU,CHANTABEAU,,,,,,,,,,
JEAN BAPTISTE SAINT GENIS,JEAN BAPTISTE SAINT GENIS,,,,,,,,,,
LE SERROUX,LE SERROUX,,,,,,,,,,
NOTRE DAME DU MAS,NOTRE DAME DU MAS,,,,,,,,,,
ANGELINA COURCELLES,Angelina Courcelles,,Angelina Courcelles.jpg,,,,communard,France,féminin,,
ANATOLE FRANCE A,ANATOLE FRANCE A,,,,,,,,,,
CLAUDEL-DUMONTET,CLAUDELDUMONTET,,,,,,,,,,
PIERRE MONTET,PIERRE MONTET,,,,,,,,,,
NOTRE DAME DE MONGRE,NOTRE DAME DE MONGRE,,,,,,,,,,
COLLINE DU SERRE,COLLINE DU SERRE,,,,,,,,,,
JOSEPH D'ARBAUD 1,JOSEPH D'ARBAUD 1,,,,,,,,,,
LA NATIVITE,LA NATIVITE,,,,,,,,,,
CHATEAU DOUBLE,CHATEAU DOUBLE,,,,,,,,,,
AUGUSTE BOYER,AUGUSTE BOYER,,,,,,,,,,
