UAI,Secteur,Nombre d'élèves,Latitude WGS84,Longitude WGS84,Niveau
0271248K,PUBLIC,43,49.4026262171981,0.354930092449702,École
0271342M,PUBLIC,66,49.229483157414,1.22217970705787,École
0270265S,PUBLIC,39,49.0736030238551,0.516980340141199,École
0270524Y,PUBLIC,52,49.3475807815222,1.36634965935699,École
0271472D,PUBLIC,262,49.2732661654253,1.21533958543868,École
0271524K,PUBLIC,224,49.2763849401143,1.20500009498604,École
0271804P,PUBLIC,170,49.2658260636846,1.21976950161437,École
0270542T,PUBLIC,93,49.3806693847968,1.34613268576756,École
0270094F,PUBLIC,90,49.0949038503039,1.48106943853135,École
0271266E,PUBLIC,161,49.0899948313162,1.45974026365791,École
0271315H,PUBLIC,104,49.089393235802,1.46192019897313,École
0270998N,PUBLIC,129,49.1008604376505,1.488469937744,École
0270932S,PUBLIC,87,49.1212387836481,1.63966016635374,École
0270623F,PUBLIC,47,49.1633934662418,0.89965051841158,École
0501478K,PUBLIC,48,48.7008968777388,-1.4410205452981,École
0501311D,PRIVE,85,49.667694953538,-1.26124025328286,École
0501186T,PUBLIC,112,49.3808489095013,-1.75576002203674,École
0501100Z,PUBLIC,50,48.8330716422428,-1.36000042841608,École
0501541D,PUBLIC,154,49.0492504376851,-1.12723033282864,École
0501481N,PUBLIC,72,49.0410549690652,-1.10413061495432,École
0500220T,PUBLIC,232,48.9020119081663,-1.50854037994424,École
0501604X,PUBLIC,67,49.6562222053481,-1.5196734688587,École
0501466X,PUBLIC,173,49.4709603709904,-1.62715003329691,École
0501262A,PUBLIC,118,49.0776602373625,-1.17574599754158,École
0501726E,PUBLIC,185,49.3088828472908,-1.24047045706119,École
0500560M,PUBLIC,79,49.6246246521268,-1.64428933795518,École
0501237Y,PUBLIC,179,49.6285429194904,-1.63178035106364,École
0501396W,PRIVE,318,49.6403077966938,-1.57131982472395,École
0501721Z,PUBLIC,135,49.6540757462672,-1.68020446090236,École
0500567V,PUBLIC,61,49.6588419793054,-1.70033060041505,École
0501923U,PUBLIC,133,48.8386239700413,-1.59129961490554,École
0502015U,PUBLIC,231,48.8343901432222,-1.56696666877956,École
0501137P,PUBLIC,71,48.9778918340287,-1.54125029690181,École
0500380S,PUBLIC,66,48.5999067883432,-1.34475967459059,École
0500192M,PUBLIC,175,49.6717355983345,-1.73454393847656,École
9740168P,PUBLIC,222,-21.243088145919,55.4834411371541,École
9740465M,PUBLIC,231,-20.9627404435445,55.3454169716129,École
9740805G,PUBLIC,197,-20.931357318061,55.3324053993074,École
9740187K,PUBLIC,95,-20.9789913703559,55.377239956544,École
9740150V,PUBLIC,262,-20.9591080289458,55.6552011208484,École
9741544K,PUBLIC,410,-20.9430206016907,55.6626744512272,École
9740148T,PUBLIC,425,-20.9739833388039,55.6875541188174,École
9740832L,PUBLIC,272,-21.0320494344657,55.7110497287861,École
9740197W,PUBLIC,18,-21.1120489621654,55.7519880117093,École
9740801C,PUBLIC,435,-21.0466041847863,55.712034038284,École
9741920U,PUBLIC,284,-21.0494960902836,55.7090788600933,École
9740795W,PUBLIC,125,-20.8892406157146,55.422917267876,École
9740631T,PUBLIC,291,-20.9087582797737,55.4961000707285,École
9740977U,PUBLIC,116,-20.9053290713883,55.4754981356869,École
0950312Y,PUBLIC,375,48.9954558439724,2.25445671561239,École
0950572F,PUBLIC,283,48.9933807219085,2.25828408664736,École
0950573G,PUBLIC,225,48.9954558439724,2.25445671561239,École
0951478R,PUBLIC,268,49.0373952635231,2.35017225613882,École
0951157S,PUBLIC,110,49.0515369177448,2.44835752274653,École
0951137V,PUBLIC,285,49.0990281016831,2.51407917068393,École
0950841Y,PRIVE,380,48.9883139831614,2.23024404958323,École
0951335K,PUBLIC,121,48.9956154816259,2.2146359249428,École
0950575J,PUBLIC,249,48.9838503980792,2.23380649066441,École
0950740N,PUBLIC,306,48.9940736983788,2.22451894307087,École
0951068V,PUBLIC,208,48.9885734110977,2.22264159008783,École
0950389G,PUBLIC,65,49.0634382595262,1.86604712905916,École
0950427Y,PUBLIC,234,48.9742547013272,2.39513849035529,École
0951477P,PUBLIC,290,48.9660741204711,2.39441145852891,École
0950423U,PUBLIC,285,48.970352406164,2.38778477185538,École
0951648A,PUBLIC,96,48.9660741204711,2.39441145852891,École
0950434F,PUBLIC,261,48.9921062260154,2.42923199893026,École
0950643H,PUBLIC,109,49.0018978091198,2.42638002432606,École
0950433E,PUBLIC,250,48.9985694612495,2.42462373303838,École
0950544A,PUBLIC,82,49.0025311068443,2.42100033814497,École
0951846R,PUBLIC,157,48.9919732484984,2.42436062140891,École
0951966W,PUBLIC,128,48.9975373949095,2.43032985959605,École
0950443R,PUBLIC,331,49.0318854435986,2.46957550079867,École
0951661P,PUBLIC,265,49.0437542643944,2.46339336368104,École
0951255Y,PUBLIC,342,49.0356851706571,2.45823605406529,École
0950767T,PUBLIC,369,49.034599436459,2.47309939935059,École
0950394M,PUBLIC,60,49.1733751378521,2.04530380369531,École
0951614N,PUBLIC,211,49.0099764186431,2.05187524694067,École
0950099S,PUBLIC,232,48.9754857050429,2.17880198329568,École
0950356W,PUBLIC,33,49.0823603375308,1.63415383133135,École
0950452A,PUBLIC,218,49.0019206910058,2.47191923651776,École
0950455D,PUBLIC,174,49.0080694884621,2.46581097242715,École
0950626P,PUBLIC,132,49.1139001324384,2.21925544660371,École
0951303A,PUBLIC,201,49.1140376115247,2.23491337260332,École
0950192T,PUBLIC,226,49.1141293044099,2.21730150926228,École
0950251G,PUBLIC,32,49.0953660097255,2.09450936739056,École
0951131N,PUBLIC,236,49.0490458062759,2.50700143630429,École
0951717A,PUBLIC,78,,,École
0950625N,PUBLIC,128,49.1468276255892,1.98275523083176,École
0951209Y,PUBLIC,155,49.0266533605254,1.97445172685828,École
0950206H,PUBLIC,124,49.0635279037424,2.18289448505846,École
0951427K,PUBLIC,93,49.0551428619233,2.1899303058013,École
0951211A,PUBLIC,324,49.0002588775792,2.20015500870115,École
0950539V,PUBLIC,205,48.9738608673795,2.34927269913237,École
0951117Y,PUBLIC,359,48.9638627352293,2.3369285933839,École
0950514T,PUBLIC,350,48.9745663815246,2.3498621856389,École
0951430N,PUBLIC,226,48.9745912012466,2.3425372458113,École
0950737K,PUBLIC,169,48.9648561178736,2.33671105826942,École
0950495X,PUBLIC,461,48.9998251253085,2.32078273222813,École
0950254K,PUBLIC,154,49.0144412211271,2.06413613679545,École
0951227T,PUBLIC,114,49.061395366004,2.04107664465162,École
0950213R,PUBLIC,105,49.1133630623814,2.2073895767167,École
0951302Z,PUBLIC,145,49.0320378190993,2.0901339909633,École
0950229H,PUBLIC,306,49.0499554200083,2.08369509883065,École
0950854M,PRIVE,577,49.0537606135758,2.0969564611528,École
0950774A,PUBLIC,130,49.1094342466199,2.28206378297238,École
0950664F,PUBLIC,155,48.99782993013,2.35974978365821,École
0951079G,PUBLIC,136,48.9738549853288,2.27844783086469,École
0951080H,PUBLIC,82,48.9611388364115,2.28300950787029,École
0950540W,PUBLIC,75,48.9633958908248,2.2810376636438,École
0950676U,PUBLIC,120,48.9606562498431,2.28698479589163,École
0950876L,PUBLIC,130,48.9624237955208,2.28044063106796,École
0950674S,PUBLIC,213,48.9606562498431,2.28698479589163,École
0950577L,PUBLIC,116,49.0195314543702,2.24316373626143,École
0950267Z,PUBLIC,316,49.0450941980896,2.10963740898373,École
0950271D,PUBLIC,156,49.0375932537073,2.10908219766107,École
0951785Z,PUBLIC,209,49.0053528822587,2.2611434472623,École
0950406A,PUBLIC,72,49.1261859605406,1.95157709535094,École
0951085N,PUBLIC,321,48.9800832949603,2.37094555389356,École
0950146T,PUBLIC,249,49.0023716376766,2.37366476198426,École
0950614B,PUBLIC,206,48.9723593115171,2.3802114653626,École
0950864Y,PUBLIC,169,48.9765443310894,2.38948636754055,École
0950103W,PUBLIC,321,48.9739064559119,2.37699657080654,École
0950113G,PUBLIC,205,48.9805827588845,2.38017487865043,École
0950150X,PUBLIC,312,48.9909506792958,2.37043822091333,École
0950110D,PUBLIC,256,48.9798741413109,2.39265499381744,École
0950734G,PUBLIC,173,48.9757151585995,2.37446409039011,École
0951761Y,PUBLIC,189,48.9914221345532,2.29558547911141,École
0950524D,PUBLIC,160,48.9869054816554,2.30039479175536,École
0951261E,PUBLIC,95,49.1014661055705,2.54618253576957,École
0950482H,PUBLIC,136,49.0971132658475,2.54447897353896,École
0950736J,PUBLIC,106,49.0170812599169,2.2103861907014,École
0951226S,PUBLIC,350,49.0108016884537,2.20517632707256,École
0951651D,PUBLIC,66,49.0065264595284,2.2073153111535,École
0950286V,PUBLIC,245,49.0269290860833,2.22716786097784,École
0950764P,PUBLIC,279,49.0217373703912,2.21283530276298,École
0950411F,PUBLIC,79,49.104981077115,1.965130179694,École
0950219X,PUBLIC,109,49.0966413949852,2.19037602985206,École
0951760X,PUBLIC,286,49.02992072671,2.01828537796357,École
0950365F,PUBLIC,22,49.0665476505811,1.71790234186724,École
0950765R,PUBLIC,282,49.0076467777883,2.40283071192105,École
0951446F,PUBLIC,176,49.001353756054,2.39097019578577,École
0340616K,PUBLIC,263,43.4877544155,3.66702045997637,École
0340620P,PUBLIC,80,43.6197157253117,3.51328941080895,École
0341308M,PUBLIC,370,43.698160667961,3.86436880969768,École
0342177G,PUBLIC,8,43.7151117321764,3.61817015624335,École
0341317X,PUBLIC,261,43.3654698130975,3.05259974816276,École
0341085V,PUBLIC,140,43.468099099083,3.17983017208776,École
0340684J,PUBLIC,136,43.6977073471679,4.0344403666337,École
0340686L,PUBLIC,15,43.6722139719033,3.0051098655963,École
0341257G,PUBLIC,137,43.6079171627429,3.77467767146131,École
0341086W,PUBLIC,273,43.6088229138215,3.78476014419964,École
0341909R,PUBLIC,154,43.5812822844254,3.83500050889291,École
0341258H,PUBLIC,126,43.5777454723764,3.82139022301195,École
0341506C,PUBLIC,97,43.7982576065688,3.73649014056798,École
0340712P,PUBLIC,21,43.8457668383864,3.51855040400301,École
0340717V,PUBLIC,59,43.6448603283111,4.12004002786954,École
0340727F,PUBLIC,68,43.5107703778946,3.51510032297205,École
0340728G,PUBLIC,17,43.754888714549,3.43635986304557,École
0340755L,PUBLIC,248,43.4106626661866,3.67459044692642,École
0340773F,PUBLIC,72,43.4062804510484,3.69337946283246,École
0341553D,PUBLIC,103,43.4149127608125,3.6635167686936,École
0342016G,PUBLIC,179,43.4124741781541,3.65931984574546,École
0341664Z,PUBLIC,159,43.40112061734,3.69271025827098,École
0341717G,PUBLIC,163,43.4100829576679,3.68282469395224,École
0340774G,PUBLIC,55,43.4004647809811,3.69355002520577,École
0340766Y,PUBLIC,57,43.4105394250424,3.69940983413506,École
0341354M,PUBLIC,46,43.314125286726,2.66192971697027,École
0340784T,PUBLIC,298,43.6829339560204,3.92815994796765,École
0340803N,PUBLIC,99,43.2470029811004,3.29204027070344,École
0340809V,PUBLIC,109,43.5800199425999,3.56166992470825,École
0340832V,PUBLIC,94,43.740178097106,3.70905510429188,École
0480108G,PUBLIC,47,44.8806663269119,3.24669008221226,École
0480531S,PRIVE,33,44.5356010496048,3.54443943551886,École
0480176F,PUBLIC,28,44.8520933944772,3.661487398541,École
0480202J,PUBLIC,46,44.5230508440864,3.26539027398763,École
0480546H,PRIVE,40,44.8172899030383,3.12031039740303,École
0480147Z,PUBLIC,31,44.5875940828921,3.90167952796045,École
0480530R,PRIVE,24,44.4679230554546,3.2293541440367,École
0480071S,PUBLIC,43,44.7306564818653,3.85645668251168,École
0480088K,PUBLIC,61,44.3071627583522,3.17441786249491,École
0480206N,PUBLIC,92,44.5296512907619,3.45012012929768,École
0480211U,PUBLIC,21,44.1477408525338,3.77279993322476,École
0480528N,PRIVE,67,44.7235200279373,3.28677035731553,École
0480251M,PUBLIC,18,44.5227418250661,3.90929968659855,École
0480287B,PUBLIC,38,44.404040931837,3.94801968099753,École
0480568G,PRIVE,198,44.7987787536585,3.27585583080791,École
0480447A,PUBLIC,13,44.6024770177517,3.20663960308543,École
0480364K,PUBLIC,14,44.2168011196043,3.7533598875883,École
0480590F,PUBLIC,39,44.3328631753641,3.89641041090726,École
0660329Z,PUBLIC,210,42.6410288686301,2.98418034955744,École
0660605Z,PUBLIC,194,42.4733906133752,2.6670681887864,École
0660333D,PUBLIC,23,42.76092273818,2.51575227803204,École
0660821J,PUBLIC,349,42.5462840596695,3.02528422956078,École
0660138S,PUBLIC,87,42.4567537513275,2.63206260113251,École
0660137R,PUBLIC,147,42.4567537513275,2.63206260113251,École
0660262B,PUBLIC,183,42.698279904985,2.82144640895401,École
0660519F,PUBLIC,113,42.4778071236266,3.12525912536575,École
0660124B,PUBLIC,78,42.5040124737647,2.07322533973454,École
0660264D,PUBLIC,250,42.7324582992199,2.9331252557005,École
0660266F,PUBLIC,110,42.7327052464139,2.92982457856674,École
